Do firms put their money where their mouth is? Sociopolitical claims and corporate political activity,"Susanne Preuss, Malte M. Max","In Press, Corrected Proof, Available online 27 September 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
CSR disclosures in buyer-seller markets: The impact of assurance of CSR disclosures and incentives for CSR investments,"Karen J. De Meyst, Eddy Cardinaels, Alexandra Van den Abbeele","In Press, Corrected Proof, Available online 30 August 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Do green business practices license self-dealing or prime prosociality? Cross-domain evidence from environmental concern triggers,"Melanie I. Millar, Thomas D. Shohfi, Mason C. Snow, Roger M. White","In Press, Corrected Proof, Available online 19 August 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Styles of verification and the pursuit of organisational repair: The case of social impact,"Sarah Adams, Matthew Hall, Xinning Xiao","In Press, Corrected Proof, Available online 27 June 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Discussion of “The ESG stopping effect: Do investor reactions differ across the lifespan of ESG initiatives?”,Donald Young,"In Press, Corrected Proof, Available online 15 May 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
The ESG stopping effect: Do investor reactions differ across the lifespan of ESG initiatives?,"Shannon Garavaglia, Ben W. Van Landuyt, Brian J. White, Julie Irwin","In Press, Corrected Proof, Available online 3 February 2023",https://www.sciencedirect.com/science/article/pii/S0361368223001113/pdfft?md5=816e9d13568fb8019caf3b0693f265b1&pid=1-s2.0-S0361368223001113-main.pdf,AOS-Accounting Organizations and Society
Distinguishing between recurring and nonrecurring components of earnings using unobserved components modeling,"Jesse Gardner, Richard G. Sloan, Joon Sang Yoon","In Press, Corrected Proof, Available online 24 March 2024",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Quants and market anomalies,"Justin Birru, Sinan Gokkaya, Xi Liu, Stanimir Markov","In Press, Journal Pre-proof, Available online 21 March 2024",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
"Institutional trading, news, and accounting anomalies","Feifei Wang, Xuemin Sterling Yan, Lingling Zheng","In Press, Corrected Proof, Available online 21 March 2024",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Standing on the shoulders of giants: Financial reporting comparability and knowledge accumulation,"Kevin Tseng, Rong (Irene) Zhong","In Press, Corrected Proof, Available online 17 February 2024",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Mandatory financial information disclosure and credit ratings,"Steven Vanhaverbeke, Benjamin Balsmeier, Thorsten Doherr","In Press, Corrected Proof, Available online 7 February 2024",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Fraudulent financial reporting and the consequences for employees,"Jung Ho Choi, Brandon Gipper","In Press, Corrected Proof, Available online 23 January 2024",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Litigation risk and strategic M&A valuations,"Claudia Imperatore, Gabriel Pündrich, Rodrigo S. Verdi, Benjamin P. Yost","In Press, Corrected Proof, Available online 10 January 2024",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Rank-and-file accounting employee compensation and financial reporting quality,"Christopher S. Armstrong, John D. Kepler, David F. Larcker, Shawn X. Shi","In Press, Journal Pre-proof, Available online 7 January 2024",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Do industry-specific accounting standards matter for capital allocation decisions?,"Peter Fiechter, Wayne R. Landsman, Kenneth Peasnell, Annelies Renders","In Press, Corrected Proof, Available online 28 December 2023",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Auditor industry range and audit quality,"Simon Dekeyser, Xianjie He, Tusheng Xiao, Luo Zuo","In Press, Corrected Proof, Available online 20 November 2023",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Disclosure paternalism,Jeremy Bertomeu,"In Press, Corrected Proof, Available online 17 November 2023",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Accounting information and risk shifting with asymmetrically informed creditors,"Tim Baldenius, Mingcherng Deng, Jing Li","In Press, Corrected Proof, Available online 10 November 2023",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
“Just BEAT it” do firms reclassify costs to avoid the base erosion and anti-abuse tax (BEAT) of the TCJA?,"Stacie O. Kelley, Christina M. Lewellen, Daniel P. Lynch, David M.P. Samuel","In Press, Corrected Proof, Available online 9 November 2023",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Gone with the big data: Institutional lender demand for private information,Jung Koo Kang,"In Press, Corrected Proof, Available online 7 November 2023",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
The effect of patent disclosure quality on innovation,"Travis A. Dyer, Stephen Glaeser, Mark H. Lang, Caroline Sprecher","In Press, Corrected Proof, Available online 29 September 2023",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Long-term firm gains from short-term managerial focus: Myopia and voluntary disclosures,"Anil Arya, Ram N.V. Ramanan","In Press, Corrected Proof, Available online 28 September 2023",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
The misuse of regression-based x-Scores as dependent variables,"Dmitri Byzalov, Sudipta Basu","In Press, Corrected Proof, Available online 12 September 2023",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Firm-level political risk and credit markets,"Mahmoud Gad, Valeri Nikolaev, Ahmed Tahoun, Laurence van Lent","In Press, Corrected Proof, Available online 9 September 2023",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Capital-market effects of tipper-tippee insider trading law: Evidence from the Newman ruling,Andrew T. Pierce,"In Press, Corrected Proof, Available online 25 August 2023",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
The SEC's September spike: Regulatory inconsistency within the fiscal year,"Dain C. Donelson, Matthew Kubic, Sara Toynbee","In Press, Corrected Proof, Available online 12 August 2023",https://www.sciencedirect.com/science/article/pii/S016541012400017X/pdfft?md5=c3ee4f652161aa92056f4eb05ce21274&pid=1-s2.0-S016541012400017X-main.pdf,JAE-Journal of Accounting and Economics
Title,Authors,Publication Date,Journallink,Journal
Social Comparison on Multiple Tasks: Sacrificing Overall Performance for Local Excellence?,MAXIMILIAN KOHLER; MATTHIAS D. MAHLENDORF; MISCHA SEITER; TIMO VOGELSANG,26 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12535,Journal of Accounting Research
When Employees Go to Court: Employee Lawsuits and Talent Acquisition in Audit Offices,JADE HUAYU CHEN,24 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12534,Journal of Accounting Research
Home Sweet Home: CEOs Acquiring Firms in Their Birth Countries,ANTONIO MARRA; ANGELA PETTINICCHIO; RON SHALEV,19 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12533,Journal of Accounting Research
Equity Incentive Plans and Board of Director Discretion over Equity Grants,BRIAN CADMAN; RICHARD CARRIZOSA,12 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12532,Journal of Accounting Research
Bank Supervision and Organizational Capital: The Case of Minority Lending,BYEONGCHAN AN; ROBERT BUSHMAN; ANYA KLEYMENOVA; RIMMY E. TOMY,5 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12529,Journal of Accounting Research
How Does Management Voluntary Disclosure Behavior Influence Auditors’ Judgments?,SEAN M. HILLISON; KAMBER D. VITTORI,5 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12531,Journal of Accounting Research
The Real Effects of Supply Chain Transparency Regulation: Evidence from Section 1502 of the Dodd–Frank Act,BOK BAIK; OMRI EVEN-TOV; RUSSELL HAN; DAVID PARK,29 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12530,Journal of Accounting Research
"Wrong Kind of Transparency? Mutual Funds’ Higher Reporting Frequency, Window Dressing, and Performance",XIANGANG XIN; P. ERIC YEUNG; ZILONG ZHANG,20 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12527,Journal of Accounting Research
Economics of Information Search and Financial Misreporting,JUNG MIN KIM,14 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12528,Journal of Accounting Research
Payment Practices Transparency and Customer‐Supplier Dynamics,JODY GREWAL; ADITYA MOHAN; GERARDO PÉREZ-CAVAZOS,7 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12521,Journal of Accounting Research
Title,Authors,Publication Date,Journallink,Journal
The effect of female leadership on contracting from Capitol Hill to Main Street,"Jonathan Brogaard, Nataliya Gerasimova, Maximilian Rohrer",unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000400/pdfft?md5=b40a195cb7dab92738a3bddb21d90f00&pid=1-s2.0-S0304405X24000400-main.pdf,JFE
Missing values handling for machine learning portfolios,"Andrew Y. Chen, Jack McCoy",unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000382/pdfft?md5=53d8a386a5ffb47021b6e37171681171&pid=1-s2.0-S0304405X24000382-main.pdf,JFE
Production complementarity and information transmission across industries,"Charles M.C. Lee, Terrence Tianshuo Shi, Stephen Teng Sun, Ran Zhang",unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000357/pdfft?md5=8cea0223ff56da51ae751ef281380b9f&pid=1-s2.0-S0304405X24000357-main.pdf,JFE
Political polarization in financial news,"Eitan Goldman, Nandini Gupta, Ryan Israelsen",unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000394/pdfft?md5=25a6b2a582209b477c93b0c928771f79&pid=1-s2.0-S0304405X24000394-main.pdf,JFE
Trade credit and the stability of supply chains,"Nuri Ersahin, Mariassunta Giannetti, Ruidi Huang",unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000539/pdfft?md5=2f3465e284a86d7f45642cd15e7ce2cf&pid=1-s2.0-S0304405X24000539-main.pdf,JFE
Aggregate lapsation risk,"Ralph S.J. Koijen, Hae Kang Lee, Stijn Van Nieuwerburgh",unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000424/pdfft?md5=6b0e7629e64955256833165d9e7f054b&pid=1-s2.0-S0304405X24000424-main.pdf,JFE
The governance of director compensation,"Lily Fang, Sterling Huang",unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000369/pdfft?md5=4d2311bf36d06f8f37ca4dca26b3f617&pid=1-s2.0-S0304405X24000369-main.pdf,JFE
Sustainability or performance? Ratings and fund managers’ incentives,"Nickolay Gantchev, Mariassunta Giannetti, Rachel Li",unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000540/pdfft?md5=fad827b0a10295f0e333e3ba61b8e6a4&pid=1-s2.0-S0304405X24000540-main.pdf,JFE
Robo advisors and access to wealth management,"Michael Reher, Stanislav Sokolinski",unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000527/pdfft?md5=2459e04731a1926fa7b267c473ef7721&pid=1-s2.0-S0304405X24000527-main.pdf,JFE
The pricing of U.S. Treasury floating rate notes,"Jonathan S. Hartley, Urban J. Jermann",unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000564/pdfft?md5=582ad929a19272318f319046433f74ea&pid=1-s2.0-S0304405X24000564-main.pdf,JFE
Title,Authors,Publication Date,Journallink,Journal
Intermediary Capital and the Credit Market,,Milton Harris,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2020.01536,MS
On Statistical Discrimination as a Failure of Social Learning: A Multiarmed Bandit Approach,,Junpei Komiyama,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00893,MS
Market Liquidity and Competition Among Designated Market Makers,,Mario Bellia,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01801,MS
Are People Willing to Pay for Reduced Inequality?,,Brian Hill,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.01974,MS
Treatment Allocation with Strategic Agents,,Evan Munro,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01629,MS
The Effect of Computer Monitoring on Employees’ Productivity in Telecommuting Arrangements,,Yea Hee Ko,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00588,MS
Editorial Statement—Sustainability,,Christoph Loch,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2024.Suststmt.v70.n4,MS
The Financial Consequences of Online Review Aggregators: Evidence from Yelp Ratings and SBA Loans,,Ruidi Huang,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2020.03003,MS
Distortions Caused by Lending Fee Retention,,Travis L. Johnson,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01390,MS
Traceability Technology Adoption in Supply Chain Networks,,Philippe Blaettchen,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01759,MS
Extrapolative Uncertainty and Household Economic Behavior,,Elyas Fermand,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.00820,MS
Editorial Statement—Operations Management,,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2024.opmstmt.v70.n5,MS
Enhancing Customer–Supplier Coordination Through Customer-Managed Inventory,,Shi Chen,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.03658,MS
Buy Now Pay (Pain?) Later,,Ed deHaan,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.03266,MS
Management Practices and Resilience to Shocks: Evidence from COVID-19,,Andrea Lamorgese,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01341,MS
Smooth Nested Simulation: Bridging Cubic and Square Root Convergence Rates in High Dimensions,,Wenjia Wang,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00204,MS
The Impact of Exchange-Traded Fund Index Inclusion on Stock Prices,,John Duffy,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.02125,MS
Designing Sparse Graphs for Stochastic Matching with an Application to Middle-Mile Transportation Management,,Yifan Feng,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01588,MS
Decisions Under Uncertainty as Bayesian Inference on Choice Options,,Ferdinand M. Vieider,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.00265,MS
Demand Inertia and the Hidden Impact of Pharmacy Benefit Managers,,Josh Feng,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.03331,MS
How Much Can Machines Learn Finance from Chinese Text Data?,,Yang Zhou,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01468,MS
Holding Foreign Insiders Accountable,,"Robert Jackson, Jr.",https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.02131,MS
Direct Evidence of Bitcoin Wash Trading,,Arash Aloosh,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01448,MS
Maximal Objectives in the Multiarmed Bandit with Applications,,Eren Ozbay,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00801,MS
Fair Exploration via Axiomatic Bargaining,,Jackie Baek,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01985,MS
"Inflation, Monetary Policy, and Portfolio Decisions of U.S. Households",,Yosef Bonaparte,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.02197,MS
Costly Information Acquisition in Decentralized Markets: Experimental Evidence,,Elena Asparouhova,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4976,MS
The Spillover Effect of Fraudulent Reviews on Product Recommendations,,Panagiotis (Panos) Adamopoulos,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.02612,MS
The Cyber Risk Premium,,Hao Jiang,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.02056,MS
Pricing Indefinitely Lived Assets: Experimental Evidence,,John Duffy,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.03059,MS
Carbon Emissions Trading and Environmental Protection: International Evidence,,Jennie Bai,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.03143,MS
Are Top Management Teams Compensated as Teams? A Structural Modeling Approach,,Chen Li,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2024.4982,MS
Editorial Statement—Entrepreneurship and Innovation,,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2024.EIstmt.v70.n4,MS
The Power of Knowing a Woman Is in Charge: Lessons from a Randomized Experiment,,Loretti Dobrescu,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.00325,MS
Small and Medium Enterprises Amidst the Pandemic and Reopening: Digital Edge and Transformation,,Lin William Cong,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.02424,MS
Motivated Belief Updating and Rationalization of Information,,Christoph Drobner,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.02537,MS
Failures in Forecasting: An Experiment on Interpersonal Projection Bias,,Benjamin Bushong,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00655,MS
Prior Information and Consumer Search: Evidence from Eye Tracking,,Raluca Mihaela Ursu,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.00611,MS
Voting with Time Commitment for Decentralized Governance: Bond Voting as a Sybil-Resistant Mechanism,,Vijay Mohan,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.01536,MS
Digital Content Creation: An Analysis of the Impact of Recommendation Systems,,Kun Qian,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.03655,MS
