Title,Authors,Publication Date,Journallink,Journal
Fraudulent financial reporting and the consequences for employees,"Jung Ho Choi, Brandon Gipper","In Press, Corrected Proof, Available online 23 January 2024",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Litigation risk and strategic M&A valuations,"Claudia Imperatore, Gabriel Pündrich, Rodrigo S. Verdi, Benjamin P. Yost","In Press, Corrected Proof, Available online 10 January 2024",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Rank-and-file accounting employee compensation and financial reporting quality,"Christopher S. Armstrong, John D. Kepler, David F. Larcker, Shawn X. Shi","In Press, Journal Pre-proof, Available online 7 January 2024",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Do industry-specific accounting standards matter for capital allocation decisions?,"Peter Fiechter, Wayne R. Landsman, Kenneth Peasnell, Annelies Renders","In Press, Corrected Proof, Available online 28 December 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Auditor industry range and audit quality,"Simon Dekeyser, Xianjie He, Tusheng Xiao, Luo Zuo","In Press, Corrected Proof, Available online 20 November 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Disclosure paternalism,Jeremy Bertomeu,"In Press, Corrected Proof, Available online 17 November 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Accounting information and risk shifting with asymmetrically informed creditors,"Tim Baldenius, Mingcherng Deng, Jing Li","In Press, Corrected Proof, Available online 10 November 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
“Just BEAT it” do firms reclassify costs to avoid the base erosion and anti-abuse tax (BEAT) of the TCJA?,"Stacie O. Kelley, Christina M. Lewellen, Daniel P. Lynch, David M.P. Samuel","In Press, Corrected Proof, Available online 9 November 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Gone with the big data: Institutional lender demand for private information,Jung Koo Kang,"In Press, Corrected Proof, Available online 7 November 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
The effect of patent disclosure quality on innovation,"Travis A. Dyer, Stephen Glaeser, Mark H. Lang, Caroline Sprecher","In Press, Corrected Proof, Available online 29 September 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Long-term firm gains from short-term managerial focus: Myopia and voluntary disclosures,"Anil Arya, Ram N.V. Ramanan","In Press, Corrected Proof, Available online 28 September 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
The misuse of regression-based x-Scores as dependent variables,"Dmitri Byzalov, Sudipta Basu","In Press, Corrected Proof, Available online 12 September 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Firm-level political risk and credit markets,"Mahmoud Gad, Valeri Nikolaev, Ahmed Tahoun, Laurence van Lent","In Press, Corrected Proof, Available online 9 September 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Capital-market effects of tipper-tippee insider trading law: Evidence from the Newman ruling,Andrew T. Pierce,"In Press, Corrected Proof, Available online 25 August 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
The SEC's September spike: Regulatory inconsistency within the fiscal year,"Dain C. Donelson, Matthew Kubic, Sara Toynbee","In Press, Corrected Proof, Available online 12 August 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Accounting conservatism and managerial information acquisition,"Christian Laux, Volker Laux","In Press, Corrected Proof, Available online 6 August 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Data visualization in 10-K filings,"Theodore E. Christensen, Karson E. Fronk, Joshua A. Lee, Karen K. Nelson","In Press, Corrected Proof, Available online 24 July 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
Public environmental enforcement and private lender monitoring: Evidence from environmental covenants,"Stacey Choy, Shushu Jiang, Scott Liao, Emma Wang","In Press, Corrected Proof, Available online 19 July 2023",https://www.sciencedirect.com/science/article/pii/S0165410124000156/pdfft?md5=99a7946448ad59de98a36bf985ee8640&pid=1-s2.0-S0165410124000156-main.pdf,JAE-Journal of Accounting and Economics
