Mandatory financial information disclosure and credit ratings,"Steven Vanhaverbeke, Benjamin Balsmeier, Thorsten Doherr","In Press, Corrected Proof, Available online 7 February 2024",JAE-Journal of Accounting and Economics
Fraudulent financial reporting and the consequences for employees,"Jung Ho Choi, Brandon Gipper","In Press, Corrected Proof, Available online 23 January 2024",JAE-Journal of Accounting and Economics
Litigation risk and strategic M&A valuations,"Claudia Imperatore, Gabriel Pündrich, Rodrigo S. Verdi, Benjamin P. Yost","In Press, Corrected Proof, Available online 10 January 2024",JAE-Journal of Accounting and Economics
Rank-and-file accounting employee compensation and financial reporting quality,"Christopher S. Armstrong, John D. Kepler, David F. Larcker, Shawn X. Shi","In Press, Journal Pre-proof, Available online 7 January 2024",JAE-Journal of Accounting and Economics
Do industry-specific accounting standards matter for capital allocation decisions?,"Peter Fiechter, Wayne R. Landsman, Kenneth Peasnell, Annelies Renders","In Press, Corrected Proof, Available online 28 December 2023",JAE-Journal of Accounting and Economics
Auditor industry range and audit quality,"Simon Dekeyser, Xianjie He, Tusheng Xiao, Luo Zuo","In Press, Corrected Proof, Available online 20 November 2023",JAE-Journal of Accounting and Economics
Disclosure paternalism,Jeremy Bertomeu,"In Press, Corrected Proof, Available online 17 November 2023",JAE-Journal of Accounting and Economics
Accounting information and risk shifting with asymmetrically informed creditors,"Tim Baldenius, Mingcherng Deng, Jing Li","In Press, Corrected Proof, Available online 10 November 2023",JAE-Journal of Accounting and Economics
“Just BEAT it” do firms reclassify costs to avoid the base erosion and anti-abuse tax (BEAT) of the TCJA?,"Stacie O. Kelley, Christina M. Lewellen, Daniel P. Lynch, David M.P. Samuel","In Press, Corrected Proof, Available online 9 November 2023",JAE-Journal of Accounting and Economics
Gone with the big data: Institutional lender demand for private information,Jung Koo Kang,"In Press, Corrected Proof, Available online 7 November 2023",JAE-Journal of Accounting and Economics
The effect of patent disclosure quality on innovation,"Travis A. Dyer, Stephen Glaeser, Mark H. Lang, Caroline Sprecher","In Press, Corrected Proof, Available online 29 September 2023",JAE-Journal of Accounting and Economics
Long-term firm gains from short-term managerial focus: Myopia and voluntary disclosures,"Anil Arya, Ram N.V. Ramanan","In Press, Corrected Proof, Available online 28 September 2023",JAE-Journal of Accounting and Economics
The misuse of regression-based x-Scores as dependent variables,"Dmitri Byzalov, Sudipta Basu","In Press, Corrected Proof, Available online 12 September 2023",JAE-Journal of Accounting and Economics
Firm-level political risk and credit markets,"Mahmoud Gad, Valeri Nikolaev, Ahmed Tahoun, Laurence van Lent","In Press, Corrected Proof, Available online 9 September 2023",JAE-Journal of Accounting and Economics
Capital-market effects of tipper-tippee insider trading law: Evidence from the Newman ruling,Andrew T. Pierce,"In Press, Corrected Proof, Available online 25 August 2023",JAE-Journal of Accounting and Economics
The SEC's September spike: Regulatory inconsistency within the fiscal year,"Dain C. Donelson, Matthew Kubic, Sara Toynbee","In Press, Corrected Proof, Available online 12 August 2023",JAE-Journal of Accounting and Economics
Accounting conservatism and managerial information acquisition,"Christian Laux, Volker Laux","In Press, Corrected Proof, Available online 6 August 2023",JAE-Journal of Accounting and Economics
Data visualization in 10-K filings,"Theodore E. Christensen, Karson E. Fronk, Joshua A. Lee, Karen K. Nelson","In Press, Corrected Proof, Available online 24 July 2023",JAE-Journal of Accounting and Economics
Public environmental enforcement and private lender monitoring: Evidence from environmental covenants,"Stacey Choy, Shushu Jiang, Scott Liao, Emma Wang","In Press, Corrected Proof, Available online 19 July 2023",JAE-Journal of Accounting and Economics
Title,Authors,Publication Date,Journallink,Journal
Equity Incentive Plans and Board of Director Discretion over Equity Grants,BRIAN CADMAN; RICHARD CARRIZOSA,12 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12532,Journal of Accounting Research
Bank Supervision and Organizational Capital: The Case of Minority Lending,BYEONGCHAN AN; ROBERT BUSHMAN; ANYA KLEYMENOVA; RIMMY E. TOMY,5 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12529,Journal of Accounting Research
How Does Management Voluntary Disclosure Behavior Influence Auditors’ Judgments?,SEAN M. HILLISON; KAMBER D. VITTORI,5 March 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12531,Journal of Accounting Research
The Real Effects of Supply Chain Transparency Regulation: Evidence from Section 1502 of the Dodd–Frank Act,BOK BAIK; OMRI EVEN-TOV; RUSSELL HAN; DAVID PARK,29 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12530,Journal of Accounting Research
"Wrong Kind of Transparency? Mutual Funds’ Higher Reporting Frequency, Window Dressing, and Performance",XIANGANG XIN; P. ERIC YEUNG; ZILONG ZHANG,20 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12527,Journal of Accounting Research
Economics of Information Search and Financial Misreporting,JUNG MIN KIM,14 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12528,Journal of Accounting Research
Payment Practices Transparency and Customer‐Supplier Dynamics,JODY GREWAL; ADITYA MOHAN; GERARDO PÉREZ-CAVAZOS,7 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12521,Journal of Accounting Research
Earnings News and Over‐the‐Counter Markets,STEFAN J. HUBER; CHONGHO KIM; EDWARD M. WATTS,7 February 2024,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12522,Journal of Accounting Research
Fraud Power Laws,EDWIGE CHEYNEL; DAVIDE CIANCIARUSO; FRANK S. ZHOU,30 December 2023,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12520,Journal of Accounting Research
Occupational Licensing and Minority Participation in Professional Labor Markets,ANDREW G. SUTHERLAND; MATTHIAS UCKERT; FELIX W. VETTER,12 December 2023,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-679X.12518,Journal of Accounting Research
Title,Authors,Publication Date,Journallink,Journal
The effect of female leadership on contracting from Capitol Hill to Main Street,,unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000400/pdfft?md5=b40a195cb7dab92738a3bddb21d90f00&pid=1-s2.0-S0304405X24000400-main.pdf,SC
Missing values handling for machine learning portfolios,,unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000382/pdfft?md5=53d8a386a5ffb47021b6e37171681171&pid=1-s2.0-S0304405X24000382-main.pdf,SC
Production complementarity and information transmission across industries,,unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000357/pdfft?md5=8cea0223ff56da51ae751ef281380b9f&pid=1-s2.0-S0304405X24000357-main.pdf,SC
Political polarization in financial news,,unfound,https://www.sciencedirect.com/science/article/pii/S0304405X24000394/pdfft?md5=25a6b2a582209b477c93b0c928771f79&pid=1-s2.0-S0304405X24000394-main.pdf,SC
Title,Authors,Publication Date,Journallink,Journal
Direct Evidence of Bitcoin Wash Trading,,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01448,MS
Maximal Objectives in the Multiarmed Bandit with Applications,,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00801,MS
Fair Exploration via Axiomatic Bargaining,,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01985,MS
"Inflation, Monetary Policy, and Portfolio Decisions of U.S. Households",,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.02197,MS
Costly Information Acquisition in Decentralized Markets: Experimental Evidence,,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4976,MS
title,authors,Publication Date,Journal
"New product announcements, innovation disclosure, and future firm performance","['Jenny Chu', 'Yuan He', 'Reuven Lehavy']",15 February 2024,Review of Accounting Studies
The spillover effect of SEC comment letters through audit firms,"['Kenneth L. Bills', 'Ryan Cating', 'Timothy A. Seidel']",13 February 2024,Review of Accounting Studies
Inventory planning and tax incentives for charitable giving,"['Anil Arya', 'Tyler Atanasov', 'Dae-Hee Yoon']",01 February 2024,Review of Accounting Studies
The role of equity underwriters in shaping corporate disclosure,"['Mei Cheng', 'Yuan Zhang', 'Meiling Zhao']",24 January 2024,Review of Accounting Studies
Customers’ response to firms’ disclosure of social stances: evidence from voting reform laws,"['Hengda Jin', 'Kenneth Merkley', 'Karen Ton']",24 January 2024,Review of Accounting Studies
title,authors,Publication Date,Journal
Emission Taxes and Capital Investments: The Role of Tax Incidence,Martin Jacob;Kira Lena Zerwer,March 13 2024,The Accounting Review
Platform-Provided Disclosure on Investor Base and Entrepreneurial Success: Evidence from Crowdfunding,John Bai (Jianqiu);Ting Chen;Xiumin Martin;Chi Wan,March 8 2024,The Accounting Review
Loan-Level Disclosure and the Convenience Yield of Asset-Backed Securities,Brent A. Schmidt;Haiwen Zhang (Helen),February 26 2024,The Accounting Review
Does Status Equal Substance? The Effects of Specialist Social Status on Auditor Assessments of Complex Estimates,Anna Gold;Kathryn Kadous;Justin Leiby,February 21 2024,The Accounting Review
The Real Effects of PCAOB Inspection Reports on the M&A Deals of Non-Big 4 Accounting Firms,Clive Lennox;Xi Wu,February 16 2024,The Accounting Review
The Impact of Performance Reporting on Investment Behavior: Evidence from Disclosure Reform in the U.K.,Gitae Park,February 15 2024,The Accounting Review
Do Firms Withhold Loan Covenant Details?,Edward Xuejun Li;Monica Neamtiu;Zhiyuan Tu,February 15 2024,The Accounting Review
Relative Liability Exposure for Negligence and Financial Reporting Quality: Evidence from the Audit Interference Rule,Michael A. Mayberry;Hyun Jong Park;Wei Zhang,February 14 2024,The Accounting Review
Stock Price Reactions to the Information and Bias in Analyst-Expected Returns,Johnathan A. Loudis,February 14 2024,The Accounting Review
Firm Boundaries and Voluntary Disclosure,Thomas Bourveau;John D. Kepler;Guoman She;Lynn Linghuan Wang,February 13 2024,The Accounting Review
The Economic Consequences of Heightened Materiality Uncertainty: An Auditing Perspective,Ying Huang;Ningzhong Li;Jieying Zhang;Xiaolu Zhou,February 7 2024,The Accounting Review
Material ESG Alpha: A Fundamentals-Based Perspective,Byung Hyun Ahn;Panos N. Patatoukas;George S. Skiadopoulos,February 6 2024,The Accounting Review
Accounting Standardization and Separation in the Municipal Debt Market: Evidence from GASB 34,William Baber;Amanda Beck;Allison Koester,February 1 2024,The Accounting Review
Are Private Firms More Aggressive Tax Planners?,Jeffrey L. Hoopes;Patrick T. Langetieg;Edward L. Maydew;Michele S. Mullaney,January 30 2024,The Accounting Review
Shaping Incentives through Measurement and Contracts,Jonathan D. Bonham,January 25 2024,The Accounting Review
Do Analysts and Investors Efficiently Respond to Managerial Linguistic Complexity during Conference Calls?,Brian J. Bushee;Ying Huang (Julie),January 23 2024,The Accounting Review
Does Fiscal Monitoring Make Better Governments? Evidence from U.S. Municipalities,Anya Nakhmurina,January 17 2024,The Accounting Review
How Do Online Conflict Disclosures Support Enforcement? Evidence from Personal Financial Disclosures and Public Corruption,Alexandra A. Scherf,January 11 2024,The Accounting Review
Does Political Uncertainty Obfuscate Narrative Disclosure?,Mohamed Mekhaimer;Marwa Soliman;Weining Zhang,January 8 2024,The Accounting Review
Private Loan Issuance and Risk Factor Disclosure,Lili Dai;Wayne R. Landsman;Zihang Peng,January 8 2024,The Accounting Review
Leasing Loses Altitude While Ownership Takes Off: Real Effects of the New Lease Standard,Bin Li;Mohan Venkatachalam,January 2 2024,The Accounting Review
The Brand Value of Earnings: An Event Study of Consumer Responses to Earnings Announcements,Michael D. Kimbrough;Neeru Paharia;Xu Wang (Frank);Sijing Wei,December 14 2023,The Accounting Review
Operating Leverage and Stock Returns under Different Aggregate Funding Conditions,Luis García-Feijóo;Tyler K. Jensen;Paul D. Koch,December 14 2023,The Accounting Review
Board Gender Diversity and Investment Efficiency: Global Evidence from 83 Country-Level Interventions,Dave Baik (Young-Il);Clara Xiaoling Chen;David Godsell,December 12 2023,The Accounting Review
The Decision-Usefulness of ASC 606 Revenue Disaggregation,Lisa A. Hinson;Gabriel P. Pündrich;Mark Zakota,December 7 2023,The Accounting Review
Dynamic Bonus Pools,Jörg Budde;Christian Hofmann,December 7 2023,The Accounting Review
"Powerful Politicians, Political Costs, and Income Smoothing",Sumi Jung,December 1 2023,The Accounting Review
Reliance on External Assurance in Regulatory Monitoring,Yadav K. Gopalan;Andrew J. Imdieke;Joseph H. Schroeder;Sarah B. Stuber,November 30 2023,The Accounting Review
"Do Audit Committees and Auditors Coordinate Effort? Evidence from Risk Areas, Materiality and Meetings",Gilad Livne;Maria Tsipouridou;Anthony Wood,November 30 2023,The Accounting Review
The Effect of Supervisors on Employee Misconduct,Zachary T. Kowaleski;Andrew G. Sutherland;Felix W. Vetter,November 30 2023,The Accounting Review
Forecasting Market Volatility: The Role of Earnings Announcements,Jaewoo Kim;Bryce Schonberger;Charles Wasley;Yucheng Yang (John),November 30 2023,The Accounting Review
Say on Pay Laws and Insider Trading,Thomas Bourveau;Francois Brochet;Fabrizio Ferri;Chengzhu Sun,November 30 2023,The Accounting Review
Measuring Portfolio Gains: The Case of Earnings Announcement Trading Signals,Matthew R. Lyle;Teri Yohn,November 30 2023,The Accounting Review
"Takeover Threats, Job Security Concerns, and Earnings Management",Edward S. Sul,November 21 2023,The Accounting Review
Corporate Political Activism and Information Transfers,Dane M. Christensen;Hengda Jin;Joshua A. Lee;Suhas A. Sridharan;Laura A. Wellman,November 9 2023,The Accounting Review
Forecasting Earnings Using k-Nearest Neighbors,Peter D. Easton;Martin M. Kapons;Steven J. Monahan;Harm H. Schütt;Eric H. Weisbrod,November 7 2023,The Accounting Review
How Trial Preparation Factors Influence Audit Litigation Outcomes: Insights from Audit Litigators,Eldar Maksymov;Mark E. Peecher;Jeffrey Pickerd;Yuepin Zhou (Daniel),November 6 2023,The Accounting Review
Client Social Status and Cooperation with Audit Requests,Dan Rimkus,November 2 2023,The Accounting Review
Fair Value of Earnouts: Valuation Uncertainty or Managerial Opportunism?,Andrew Ferguson;Cecilia Wei Hu;Peter Lam,October 27 2023,The Accounting Review
Corporate Tax Benefits from Hometown-Connected Politicians,Chunfang Cao;C. S. Agnes Cheng;Changyuan Xia;Jing Xie;Cheng Zeng (Colin),October 27 2023,The Accounting Review
Experience with Non-GAAP Earnings and Investors’ Pricing of Exclusions,Sarah E. McVay;Edgar A. Rodriguez-Vazquez;Sara M. Toynbee,October 20 2023,The Accounting Review
Retraction: Governance and Taxes: Evidence from Regression Discontinuity,Andrew Bird;Stephen A. Karolyi,January 10 2019,The Accounting Review
