title,authors,Publication Date,Journal
"Powerful Politicians, Political Costs, and Income Smoothing",Sumi Jung,December 1 2023,The Accounting Review
Reliance on External Assurance in Regulatory Monitoring,Yadav K. Gopalan;Andrew J. Imdieke;Joseph H. Schroeder;Sarah B. Stuber,November 30 2023,The Accounting Review
"Do Audit Committees and Auditors Coordinate Effort? Evidence from Risk Areas, Materiality and Meetings",Gilad Livne;Maria Tsipouridou;Anthony Wood,November 30 2023,The Accounting Review
The Effect of Supervisors on Employee Misconduct,Zachary T. Kowaleski;Andrew G. Sutherland;Felix W. Vetter,November 30 2023,The Accounting Review
Forecasting Market Volatility: The Role of Earnings Announcements,Jaewoo Kim;Bryce Schonberger;Charles Wasley;Yucheng Yang (John),November 30 2023,The Accounting Review
Say on Pay Laws and Insider Trading,Thomas Bourveau;Francois Brochet;Fabrizio Ferri;Chengzhu Sun,November 30 2023,The Accounting Review
Measuring Portfolio Gains: The Case of Earnings Announcement Trading Signals,Matthew R. Lyle;Teri Yohn,November 30 2023,The Accounting Review
"Takeover Threats, Job Security Concerns, and Earnings Management",Edward S. Sul,November 21 2023,The Accounting Review
Corporate Political Activism and Information Transfers,Dane M. Christensen;Hengda Jin;Joshua A. Lee;Suhas A. Sridharan;Laura A. Wellman,November 9 2023,The Accounting Review
Forecasting Earnings Using k-Nearest Neighbors,Peter D. Easton;Martin M. Kapons;Steven J. Monahan;Harm H. Schütt;Eric H. Weisbrod,November 7 2023,The Accounting Review
How Trial Preparation Factors Influence Audit Litigation Outcomes: Insights from Audit Litigators,Eldar Maksymov;Mark E. Peecher;Jeffrey Pickerd;Yuepin Zhou (Daniel),November 6 2023,The Accounting Review
Client Social Status and Cooperation with Audit Requests,Dan Rimkus,November 2 2023,The Accounting Review
Fair Value of Earnouts: Valuation Uncertainty or Managerial Opportunism?,Andrew Ferguson;Cecilia Wei Hu;Peter Lam,October 27 2023,The Accounting Review
Corporate Tax Benefits from Hometown-Connected Politicians,Chunfang Cao;C. S. Agnes Cheng;Changyuan Xia;Jing Xie;Cheng Zeng (Colin),October 27 2023,The Accounting Review
Experience with Non-GAAP Earnings and Investors’ Pricing of Exclusions,Sarah E. McVay;Edgar A. Rodriguez-Vazquez;Sara M. Toynbee,October 20 2023,The Accounting Review
Retraction: Governance and Taxes: Evidence from Regression Discontinuity,Andrew Bird;Stephen A. Karolyi,January 10 2019,The Accounting Review
